id,xP
1,3.7
2,1.0
3,0.0
4,1.0
5,5.2
6,3.2
7,0.0
8,4.8
9,0.0
10,1.7
11,1.5
13,1.0
14,0.0
15,1.0
16,6.8
17,5.7
18,1.7
19,2.3
20,5.3
21,3.9
22,2.3
23,0.0
24,1.2
25,1.0
26,4.2
28,0.0
29,0.0
30,1.0
31,2.3
266,1.3
662,0.0
666,3.3
700,0.0
711,1.0
725,4.5
759,1.0
32,2.2
33,0.2
34,0.0
35,0.0
36,2.8
37,0.7
38,1.8
39,1.5
40,0.0
41,0.2
42,0.2
43,0.0
44,0.2
45,0.0
46,0.0
47,6.5
48,4.3
49,0.0
50,2.5
51,0.0
53,1.5
54,4.3
55,0.0
56,0.0
57,0.0
58,3.0
59,0.0
60,0.0
61,0.0
62,0.2
63,0.0
64,6.0
65,0.0
389,0.0
456,0.8
677,0.0
688,0.0
701,0.0
702,0.0
703,0.0
710,0.0
719,1.8
754,0.2
757,0.0
768,0.0
781,1.4
183,0.0
184,0.0
185,0.0
186,0.0
187,1.3
188,0.0
189,0.0
190,3.2
191,0.0
192,0.7
193,2.0
194,0.0
195,1.2
196,0.0
197,1.5
198,0.0
199,0.1
200,1.2
201,0.0
202,2.0
203,0.0
204,0.0
205,0.0
206,2.0
207,0.0
208,0.0
209,3.3
210,0.7
211,0.0
212,0.0
213,0.2
214,0.7
215,0.3
216,0.0
217,0.0
218,0.2
219,0.0
470,3.3
676,3.5
680,3.7
722,1.8
776,0.0
784,1.2
66,0.0
67,0.8
68,0.0
69,-1.0
70,0.0
71,0.0
72,2.2
73,0.5
74,1.7
75,-0.2
76,-1.0
77,0.3
78,0.0
79,0.0
80,-0.8
81,2.2
82,4.7
84,3.2
85,0.0
86,1.8
87,0.0
88,0.8
89,0.0
90,1.8
91,0.0
92,0.0
93,0.0
94,0.0
95,0.0
96,0.0
97,2.3
98,-0.3
99,0.0
100,1.0
391,0.0
685,0.3
687,-1.0
697,-0.3
713,2.0
721,0.0
756,-1.0
782,0.3
27,0.3
83,0.0
101,5.0
102,0.0
103,0.0
104,0.0
105,0.0
106,6.3
107,6.0
108,2.7
109,3.2
110,3.2
111,0.0
112,0.0
113,2.0
114,0.0
115,0.0
116,1.7
117,0.0
118,0.0
120,5.5
121,2.5
122,0.0
123,0.0
124,2.8
125,5.5
126,2.0
127,0.0
128,0.0
129,3.3
130,0.0
131,0.0
132,0.0
133,0.2
134,0.0
136,5.0
137,0.0
748,0.0
138,0.0
139,4.0
140,0.0
141,0.0
142,0.0
143,1.5
144,1.2
145,2.7
146,1.5
147,0.0
148,3.7
150,0.0
151,2.5
152,2.8
153,0.0
154,0.0
155,0.0
156,0.0
157,1.0
158,3.7
159,0.0
160,1.7
161,0.0
162,1.7
163,1.5
164,0.0
165,0.0
166,4.2
167,0.0
169,2.8
170,0.7
171,0.0
172,0.5
173,0.0
174,0.0
