id,xP
1,4.8
2,1.0
3,0.0
4,1.0
5,0.0
6,3.5
7,3.6
8,5.5
9,0.0
10,1.8
11,1.0
13,1.0
14,0.0
15,1.0
16,6.5
17,0.5
18,0.6
19,0.6
20,8.5
21,8.0
22,4.0
23,0.0
24,1.2
25,1.5
26,4.8
28,0.0
29,0.0
30,0.5
31,0.5
266,10.0
662,1.8
666,1.6
700,1.0
711,1.0
725,2.0
32,6.5
33,0.0
34,0.0
35,0.0
36,4.3
37,4.2
38,3.2
39,0.8
40,0.0
41,4.8
42,0.0
43,0.0
44,0.4
45,0.0
46,0.0
47,5.2
48,1.5
49,0.0
50,4.0
51,0.0
53,3.0
54,2.0
55,3.0
56,0.0
57,0.0
58,2.5
59,2.4
60,0.0
61,0.0
62,0.0
63,0.0
64,2.0
65,0.0
389,0.0
456,1.0
677,0.8
688,0.0
701,0.0
702,0.0
703,0.0
710,0.0
719,0.0
754,1.2
183,0.0
184,0.0
185,0.0
186,0.0
187,1.0
188,0.0
189,0.0
190,0.2
191,2.0
192,2.5
193,0.0
194,0.0
195,0.2
196,0.0
197,0.0
198,2.0
199,0.0
200,2.0
201,0.0
202,1.2
203,0.0
204,0.0
205,3.8
206,0.5
207,2.2
208,0.0
209,1.0
210,1.2
211,0.0
212,0.0
213,0.0
214,0.0
215,5.2
216,0.0
217,2.0
218,0.0
219,0.0
470,2.0
676,2.8
680,0.6
722,2.5
66,0.0
67,3.0
68,0.0
69,0.0
70,0.0
71,0.0
72,3.2
73,0.5
74,3.0
75,0.0
76,0.0
77,0.0
78,0.0
79,0.0
80,0.0
81,0.0
82,0.9
84,5.5
85,4.5
86,1.0
87,1.0
88,1.8
89,0.0
90,2.8
91,0.0
92,0.0
93,0.0
94,0.0
95,0.0
96,0.0
97,2.0
98,1.8
99,0.0
100,2.8
391,0.0
685,0.2
687,0.0
697,0.8
713,1.8
721,2.0
27,0.7
83,3.7
101,1.7
102,0.0
103,0.0
104,0.0
105,0.0
