id,xP
1,5.5
2,0.5
3,0.0
4,0.5
5,8.5
6,4.0
7,5.3
8,6.7
9,0.0
10,1.3
11,0.5
13,0.5
14,0.0
15,0.5
16,5.5
17,0.0
18,0.0
19,1.5
20,5.0
21,8.0
22,2.7
23,0.0
24,0.7
25,0.7
26,3.7
28,0.0
29,0.0
30,0.0
31,0.0
266,6.0
662,1.0
666,2.5
700,0.5
711,0.5
725,0.7
32,3.0
33,-0.5
34,0.0
35,0.0
36,4.7
37,1.9
38,3.0
39,0.3
40,-0.3
41,3.3
42,-0.1
43,0.0
44,0.5
45,-0.5
46,0.0
47,4.5
48,-0.1
49,0.0
50,5.3
51,0.0
53,4.3
54,3.0
55,0.3
56,0.0
57,0.0
58,2.0
59,1.5
60,-0.5
61,0.0
62,-0.5
63,-0.5
64,2.7
65,0.0
389,-0.3
456,-0.3
677,1.0
688,-0.5
701,0.0
702,-0.5
703,-0.5
710,-0.5
719,0.0
183,-0.5
184,0.0
185,-0.5
186,0.0
187,5.5
188,-0.5
189,0.0
190,-0.2
191,2.8
192,5.2
193,-0.5
194,0.0
195,-0.5
196,0.0
197,-0.5
198,2.8
199,-0.2
200,1.2
201,0.0
202,0.8
203,-0.5
204,0.0
205,3.2
206,-0.5
207,0.8
208,0.0
209,0.8
210,1.8
211,0.0
212,0.0
213,-0.5
214,-0.5
215,4.8
216,0.0
217,2.2
218,-0.2
219,0.0
470,3.8
676,5.8
680,-0.2
722,4.2
66,0.0
67,4.3
68,0.0
69,0.0
70,0.0
71,0.0
72,3.0
73,0.0
74,5.3
75,0.0
76,0.0
77,2.3
78,0.0
79,0.0
80,0.0
81,3.7
82,8.3
84,6.3
85,3.7
86,0.5
87,2.3
88,0.7
89,0.0
90,3.0
91,0.0
92,0.0
93,0.0
94,0.0
95,0.0
96,0.0
97,0.0
98,0.2
99,0.0
100,6.0
391,1.7
685,1.7
687,0.0
697,0.7
713,2.7
721,2.3
27,-1.0
83,3.7
101,2.7
102,-1.0
103,-1.0
104,-1.0
105,-1.0
106,3.7
107,0.3
108,3.0
109,-0.7
110,3.0
111,-1.0
112,0.0
113,2.7
114,-1.0
115,0.0
116,0.0
117,0.0
118,0.0
120,3.7
121,3.0
122,0.0
123,-0.7
124,0.7
125,1.0
126,1.7
127,-1.0
128,-0.3
129,1.0
130,-1.0
131,-1.0
132,-1.0
133,-1.0
134,0.0
136,4.0
137,-1.0
138,0.0
139,1.3
140,0.0
141,0.0
142,0.0
143,0.0
144,0.3
145,0.7
146,1.0
147,0.0
148,1.0
150,0.0
151,5.7
152,0.0
153,0.0
154,0.0
155,0.0
156,0.0
157,0.0
158,3.3
159,0.0
160,3.0
161,0.0
162,0.5
